Datum,Lokalzeit,Last [kW],Globalstrahlung [W/m2],Lufttemperatur [°C]
06.01.2021,11:15:00,57253.12,58.3,-0.2
06.01.2021,11:30:00,58343.68,58.3,-0.2
06.01.2021,11:45:00,60154.01,58.3,-0.2
06.01.2021,12:00:00,60516.56,58.3,-0.2
06.01.2021,12:15:00,57294.68,108.4,0.1
06.01.2021,12:30:00,55072.2,108.4,0.1
06.01.2021,12:45:00,54125.65,108.4,0.1
06.01.2021,13:00:00,54177.77,108.4,0.1
06.01.2021,13:15:00,54110.72,51.7,-0.1
06.01.2021,13:30:00,53830.42,51.7,-0.1
06.01.2021,13:45:00,53714.23,51.7,-0.1
06.01.2021,14:00:00,54107.78,51.7,-0.1
06.01.2021,14:15:00,54004.02,45,-0.1
06.01.2021,14:30:00,54281.62,45,-0.1
06.01.2021,14:45:00,54485.85,45,-0.1
06.01.2021,15:00:00,54227.98,45,-0.1
06.01.2021,15:15:00,54432,20,-0.3
06.01.2021,15:30:00,54125,20,-0.3
06.01.2021,15:45:00,54185.42,20,-0.3
06.01.2021,16:00:00,54603.12,20,-0.3
06.01.2021,16:15:00,54961.48,0,-0.6
06.01.2021,16:30:00,55744.79,0,-0.6
06.01.2021,16:45:00,56828.6,0,-0.6
06.01.2021,17:00:00,58237.95,0,-0.6
06.01.2021,17:15:00,60258.7,0,-0.7
06.01.2021,17:30:00,61908.11,0,-0.7
06.01.2021,17:45:00,62579.83,0,-0.7
06.01.2021,18:00:00,64019.67,0,-0.7
06.01.2021,18:15:00,64071.12,0,-0.7
06.01.2021,18:30:00,64091.32,0,-0.7
